Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition
1,58.0,Female,Married,IT,Manager,1,15488.0,28,15.0,4,2,1,3.0,4,14,No,6,54,17,4,4,4,20,3,No
2,48.0,Female,Married,Sales,Assistant,5,13079.0,28,6.0,9,1,2,1.0,1,6,Yes,2,45,1,4,1,2,25,2,No
3,34.0,Male,Married,Marketing,Assistant,1,13744.0,24,24.0,14,8,3,2.0,1,77,Yes,6,34,2,3,4,4,45,3,No
4,27.0,Female,Divorced,Marketing,Manager,1,6809.0,26,10.0,8,2,3,5.0,4,49,No,9,48,18,2,3,1,35,3,No
5,40.0,Male,Divorced,Marketing,Executive,1,10206.0,52,29.0,10,1,2,5.0,1,64,No,3,33,0,4,1,3,44,3,No
6,58.0,Male,Divorced,Finance,Assistant,3,16746.0,48,15.0,9,3,4,2.0,3,66,No,9,35,9,2,2,3,24,1,No
7,38.0,Male,Divorced,HR,Analyst,1,18995.0,55,29.0,1,1,4,5.0,1,43,No,2,55,13,1,1,3,40,2,No
8,42.0,Female,Divorced,Marketing,Manager,3,19035.0,24,4.0,9,0,3,2.0,3,30,No,5,46,12,4,2,4,13,1,No
9,30.0,Male,Married,IT,Analyst,5,14671.0,31,18.0,3,5,4,1.0,1,42,Yes,2,36,8,3,4,2,48,3,No
10,30.0,Male,Married,Marketing,Analyst,3,16210.0,31,18.0,11,9,3,1.0,2,76,No,7,53,5,3,3,4,39,2,No
11,43.0,Female,Married,Finance,Executive,5,8197.0,81,25.0,12,7,3,1.0,4,47,Yes,9,52,5,4,1,2,4,3,Yes
12,55.0,Female,Married,IT,Analyst,5,18553.0,76,17.0,10,9,2,2.0,2,81,No,7,36,18,2,2,3,12,1,No
13,59.0,Female,Divorced,Finance,Executive,3,10452.0,15,12.0,9,9,4,2.0,1,80,No,5,38,9,1,4,1,17,1,No
14,43.0,Female,Divorced,IT,Assistant,2,11718.0,26,7.0,1,1,2,4.0,1,80,Yes,4,42,2,1,3,4,1,3,No
15,22.0,Male,Divorced,Sales,Manager,4,17859.0,18,16.0,1,8,3,5.0,3,60,No,4,49,17,3,3,1,17,2,No
16,41.0,Male,Single,HR,Analyst,1,5172.0,56,11.0,9,2,3,5.0,1,74,Yes,8,43,18,3,3,3,2,1,No
17,21.0,Male,Married,HR,Manager,4,16158.0,27,14.0,11,7,3,4.0,1,83,Yes,1,45,4,2,4,2,6,3,No
18,43.0,Male,Married,Finance,Analyst,1,19663.0,99,3.0,14,7,1,4.0,1,9,Yes,5,52,10,3,4,1,44,4,No
19,49.0,Female,Divorced,HR,Manager,1,14085.0,18,19.0,6,2,1,1.0,2,28,No,2,38,9,2,4,4,11,3,No
20,57.0,Male,Married,Finance,Analyst,5,6981.0,96,18.0,4,2,1,4.0,3,47,No,9,44,16,4,3,1,43,3,No
21,21.0,Male,Married,Finance,Analyst,1,8247.0,83,10.0,7,5,2,2.0,2,97,No,7,34,3,1,1,1,18,2,No
22,40.0,Female,Divorced,Finance,Analyst,1,13553.0,33,6.0,5,0,3,3.0,3,80,No,8,47,17,4,2,4,40,3,No
23,52.0,Male,Single,HR,Analyst,3,9135.0,16,13.0,10,3,4,2.0,2,61,No,6,50,17,3,4,2,25,4,No
24,31.0,Male,Single,Finance,Analyst,4,8573.0,26,10.0,14,0,2,4.0,1,12,No,9,49,0,1,1,4,39,3,Yes
25,41.0,Male,Single,HR,Analyst,3,16731.0,95,18.0,7,2,2,5.0,2,43,Yes,6,37,13,1,2,3,28,4,No
26,44.0,Male,Divorced,Finance,Analyst,1,10189.0,88,26.0,8,8,2,2.0,2,46,No,7,44,7,4,3,2,46,1,No
27,46.0,Male,Married,Marketing,Analyst,5,17541.0,20,20.0,8,4,4,5.0,3,63,No,7,50,1,2,1,1,16,3,Yes
28,47.0,Male,Divorced,Finance,Analyst,3,13878.0,22,26.0,1,4,3,2.0,3,90,No,9,54,18,1,3,4,12,2,Yes
29,35.0,Female,Divorced,IT,Manager,3,14087.0,65,16.0,8,3,1,5.0,2,52,No,8,38,14,2,2,3,41,3,No
30,34.0,Female,Married,Finance,Executive,2,16667.0,25,25.0,6,2,3,2.0,3,89,Yes,1,48,1,4,4,4,29,4,No
31,22.0,Male,Single,Sales,Analyst,1,5776.0,77,25.0,4,4,3,5.0,3,91,Yes,4,58,3,4,3,2,23,4,No
32,56.0,Male,Single,Finance,Executive,5,12311.0,71,6.0,13,3,2,3.0,3,76,Yes,7,55,0,2,1,3,21,2,Yes
33,26.0,Female,Divorced,IT,Analyst,3,10697.0,26,13.0,14,7,2,1.0,4,75,Yes,8,51,18,4,4,1,16,4,No
34,40.0,Male,Single,IT,Analyst,3,17629.0,87,4.0,12,3,2,2.0,3,43,Yes,7,35,9,1,1,2,48,3,No
35,28.0,Male,Divorced,HR,Manager,5,11386.0,16,23.0,8,7,1,3.0,4,27,No,3,33,0,4,2,3,41,4,No
36,58.0,Male,Divorced,Marketing,Assistant,1,11044.0,22,14.0,3,5,1,1.0,4,1,Yes,4,40,19,4,2,2,45,3,No
37,37.0,Female,Married,Finance,Assistant,2,12615.0,25,1.0,13,4,1,2.0,3,56,Yes,7,58,14,1,4,1,26,3,Yes
38,23.0,Male,Married,HR,Manager,3,18034.0,67,28.0,4,3,3,3.0,2,56,No,8,39,3,2,1,3,37,4,No
39,44.0,Female,Married,Marketing,Executive,2,8060.0,24,20.0,6,3,2,3.0,3,33,No,7,32,6,4,1,4,22,2,Yes
40,33.0,Male,Divorced,Finance,Assistant,4,13900.0,99,5.0,11,3,4,3.0,1,86,Yes,6,30,6,2,1,4,10,1,No
41,28.0,Female,Married,Sales,Manager,1,8581.0,98,8.0,7,8,3,4.0,2,57,No,9,41,17,1,1,1,7,2,No
42,45.0,Female,Single,Finance,Manager,4,5014.0,22,12.0,4,3,1,5.0,4,51,No,9,52,12,2,2,3,9,1,No
43,21.0,Male,Single,IT,Assistant,4,15997.0,50,2.0,4,8,4,1.0,4,28,Yes,7,44,9,2,1,1,25,2,No
44,39.0,Female,Divorced,IT,Executive,4,13635.0,90,12.0,7,9,4,5.0,2,34,No,8,44,7,3,2,1,46,3,No
45,47.0,Male,Divorced,Sales,Manager,1,16648.0,28,5.0,6,5,2,5.0,2,74,Yes,6,50,9,3,1,2,15,3,No
46,26.0,Female,Married,HR,Analyst,1,10148.0,68,22.0,13,9,4,5.0,3,47,Yes,1,43,13,4,1,4,13,4,No
47,27.0,Male,Divorced,Marketing,Executive,5,17022.0,99,5.0,11,6,1,3.0,4,32,No,1,55,13,3,3,1,42,1,No
48,54.0,Male,Divorced,Finance,Executive,2,8919.0,35,13.0,8,9,2,5.0,1,74,Yes,6,36,19,3,3,2,46,1,No
49,33.0,Female,Single,IT,Assistant,2,18886.0,64,9.0,1,2,4,4.0,3,72,Yes,2,46,10,3,1,1,26,4,Yes
50,36.0,Male,Single,HR,Assistant,5,9638.0,53,10.0,10,7,2,2.0,2,77,No,8,53,5,2,2,1,21,2,Yes
51,55.0,Male,Married,Sales,Analyst,5,7651.0,34,1.0,13,2,4,3.0,4,8,No,1,48,0,2,1,1,23,4,No
52,59.0,Female,Divorced,IT,Manager,4,3609.0,21,3.0,11,0,3,1.0,2,47,No,2,36,18,3,3,4,44,2,Yes
53,23.0,Male,Divorced,Sales,Assistant,5,10940.0,23,18.0,7,9,3,2.0,2,66,No,8,57,6,1,1,3,28,4,No
54,21.0,Male,Single,Finance,Assistant,3,13348.0,15,12.0,12,4,1,2.0,2,92,Yes,6,32,17,3,3,4,38,1,Yes
55,25.0,Female,Divorced,Marketing,Executive,2,6866.0,40,29.0,7,1,3,2.0,3,82,No,2,59,2,1,1,2,12,1,No
56,23.0,Female,Single,IT,Assistant,5,19755.0,52,3.0,11,9,3,5.0,1,35,No,2,32,19,2,4,3,24,2,No
57,48.0,Male,Married,IT,Assistant,3,19999.0,52,26.0,7,5,3,5.0,1,95,Yes,7,55,10,1,1,2,13,1,Yes
58,37.0,Male,Single,Finance,Assistant,3,5253.0,75,25.0,7,9,4,3.0,4,70,Yes,5,54,4,2,2,1,40,1,No
59,45.0,Female,Divorced,HR,Assistant,3,7942.0,58,29.0,10,8,4,5.0,2,91,Yes,5,58,18,1,3,3,48,1,No
60,53.0,Female,Married,Marketing,Executive,3,15330.0,58,9.0,14,0,2,5.0,1,43,Yes,8,47,1,2,4,2,2,1,No
61,29.0,Male,Single,IT,Analyst,4,3864.0,88,26.0,10,3,4,5.0,2,81,No,7,59,3,2,3,1,39,3,No
62,55.0,Female,Single,Marketing,Analyst,3,4268.0,76,2.0,8,0,3,3.0,4,59,No,9,49,9,3,3,2,12,4,No
63,33.0,Male,Married,IT,Manager,4,10454.0,20,3.0,9,0,4,3.0,2,62,Yes,4,51,1,4,2,2,39,4,Yes
64,50.0,Male,Married,Marketing,Assistant,4,16666.0,31,14.0,9,7,1,4.0,1,4,Yes,4,43,7,4,1,4,14,3,Yes
65,34.0,Male,Single,Sales,Executive,3,15370.0,65,4.0,2,1,2,4.0,2,86,Yes,2,32,0,2,2,1,30,1,Yes
66,27.0,Male,Divorced,IT,Manager,2,8229.0,52,25.0,13,0,2,4.0,1,85,Yes,3,57,5,3,1,4,41,4,No
67,33.0,Male,Single,Marketing,Manager,3,19309.0,38,19.0,13,7,4,4.0,4,89,No,1,55,10,4,4,3,43,4,No
68,42.0,Female,Married,HR,Analyst,3,7054.0,65,13.0,7,3,3,2.0,2,75,Yes,1,59,9,4,2,1,48,4,Yes
69,59.0,Female,Single,Sales,Executive,3,3935.0,24,7.0,7,2,2,2.0,1,39,No,7,55,12,3,2,4,19,2,No
70,40.0,Female,Married,Sales,Executive,2,15172.0,86,12.0,4,3,1,4.0,4,18,Yes,5,36,0,3,3,4,31,3,No
71,35.0,Female,Married,HR,Executive,1,13530.0,35,3.0,9,4,1,4.0,2,46,No,3,36,1,4,2,3,43,2,No
72,37.0,Male,Divorced,Marketing,Analyst,1,18560.0,84,23.0,8,0,2,1.0,4,64,No,7,34,2,4,1,2,43,2,No
73,43.0,Male,Married,Finance,Analyst,4,19156.0,99,23.0,12,0,3,2.0,1,66,No,2,32,8,1,2,2,25,3,No
74,45.0,Male,Married,HR,Analyst,4,19709.0,71,9.0,1,2,3,1.0,2,90,No,3,47,4,1,2,2,4,4,No
75,44.0,Male,Divorced,Marketing,Analyst,2,12726.0,53,2.0,2,5,4,1.0,2,17,Yes,1,44,9,2,4,3,13,2,No
